n,d,p
408,401,7.711405828120293e-71
640,629,1.932909220043642e-51
58,57,3.6360222186727772e-34
752,739,1.467850306593352e-63
288,283,8.110971990836002e-21
976,959,1.5308297785426631e-89
172,169,1.7641555931602085e-56
400,393,1.1981623391857408e-28
57,56,7.204530205302167e-82
512,503,1.681906181608843e-38
624,613,1.2328143455819653e-49
736,723,1.1685242414225078e-61
848,833,2.4623744559507465e-74
960,943,1.6376091786646113e-87
56,55,2.4831521637182557e-17
944,927,1.7223033521946963e-85
832,817,2.2653325313138893e-72
720,707,9.043283429903082e-60
608,597,7.565215494977806e-48
496,487,7.436732196721403e-37
55,54,7.02569178662406e-78
384,377,3.218766837150277e-27
164,161,8.529389243321372e-53
928,911,1.77982772369602e-83
272,267,9.319225316503036e-20
488,479,3.75454828594221e-89
704,691,6.795380714671881e-58
54,53,4.56854334650848e-31
592,581,4.4578511250070525e-46
376,369,3.992114169621715e-63
912,895,1.8061570720925653e-81
160,157,2.1163240097739581e-16
1008,989,7.510075295064061e-93
53,52,6.321504019137126e-74
688,675,4.951443961029815e-56
264,259,1.1415411166968197e-39
896,879,1.798742853293808e-79
368,361,7.862772041178134e-26
472,463,4.214747208301816e-85
576,565,2.517017036868691e-44
784,769,1.5368310941501014e-66
992,973,8.281454337288035e-91
52,51,5.144102529773462e-17
880,863,1.756835089321214e-77
672,659,3.4935963464723543e-54
464,455,1.2121342557721713e-33
360,353,2.4503613708828677e-59
976,957,8.987004349895156e-89
256,251,8.975420531353948e-19
51,50,5.216474920968733e-70
560,549,1.3586386434800268e-42
864,847,1.681659640093847e-75
152,149,2.472351035783294e-21
960,941,9.592761447685905e-87
656,643,2.3833414510132638e-52
252,247,1.7614526368403585e-92
352,345,1.7329279318828536e-24
752,737,1.048067114679144e-62
50,49,4.221582143853241e-28
848,831,1.576415161558374e-73
448,439,4.432749544367611e-32
944,925,1.0065974928864186e-84
248,243,2.3426072118077444e-36
544,533,6.993534384457436e-41
148,145,1.2883726524779346e-45
640,627,1.5695526414151877e-50
344,337,1.3361928007013548e-55
736,721,8.31301544600207e-61
49,48,3.9212958317023784e-66
832,815,1.446075080691367e-71
440,431,4.278020221966118e-77
928,909,1.0377739765365784e-82
244,239,2.1034253903322497e-88
48,47,4.710039315774733e-16
992,971,4.452962679955651e-90
236,231,2.350666341632648e-84
896,877,1.0436169414426304e-78
424,415,3.8281169210790154e-73
800,783,1.1364393386275499e-67
47,46,2.6649631964559187e-62
704,689,4.796741714798817e-57
328,321,6.4030288744020804e-52
608,595,6.080460812970149e-47
140,137,3.9032140573085655e-42
512,501,1.5892923284591461e-37
976,955,4.8219878789977835e-88
232,227,3.7862219549829304e-33
880,861,1.0166410226626573e-76
416,407,4.752904599038069e-29
784,767,9.718603538149494e-66
46,45,2.735191798196037e-25
688,673,3.480587574143814e-55
504,493,9.118977046604632e-92
320,313,5.960773034211934e-22
228,223,2.447439189649567e-80
592,579,3.5631802518154726e-45
864,845,9.705033670938195e-75
136,133,3.745105311144901e-19
768,751,8.103835731034028e-64
496,485,6.973406681622394e-36
45,44,1.6235200699856608e-58
944,923,5.376614170028672e-84
224,219,4.504688990079875e-17
848,829,9.072086227191491e-73
312,305,2.662916046260209e-48
400,391,1.3786285426523033e-27
488,477,1.084331484258882e-87
576,563,2.0001540872702088e-43
752,735,6.581975761537496e-62
928,907,5.530006228135755e-82
44,43,5.372416795686396e-16
1008,985,2.018482432556515e-91
