n,d,p
280,263,8.846501974015578e-06
148,139,1.219484744920154e-05
312,293,1.6550202987705833e-05
16,15,7.552845153070608e-05
78,73,2.21462368036538e-05
296,277,1.654851088930075e-05
140,131,1.2187444518679372e-05
264,247,8.82281259634456e-06
31,29,6.241780869783461e-06
232,217,4.250762705840788e-06
108,101,2.666006793340807e-06
200,187,1.3088381163229735e-06
46,43,2.0691190809517593e-07
168,157,0.0
320,299,2.9255112349886234e-05
76,71,2.214475621754934e-05
288,269,1.654258854488304e-05
136,127,1.2169677485426107e-05
256,239,8.778395013211453e-06
15,14,6.144062186890569e-06
224,209,4.055325340055005e-06
104,97,3.155763525458753e-05
74,69,2.2138833873131593e-05
192,179,7.580600854721293e-07
280,261,1.6524821511629773e-05
44,41,1.2130441953658499e-05
248,231,8.68067633031855e-06
160,149,3.818949768481524e-05
29,27,5.948624821104781e-06
304,283,2.9247709419363982e-05
72,67,2.5813648584346154e-05
272,253,1.6480403928496626e-05
100,93,1.6962228949340796e-06
128,119,1.2027541219400107e-05
156,145,3.8183575340397425e-05
184,171,1.909956074724701e-07
240,223,8.485238964532767e-06
296,275,2.922994238611073e-05
14,13,2.766253048226277e-05
320,297,4.930795903609055e-05
264,245,1.6382685245603716e-05
208,193,3.0648132361861465e-06
152,141,3.816580830714415e-05
124,115,1.183210385361431e-05
96,89,3.0046697135008852e-05
232,215,8.12249536894551e-06
68,63,2.1978930573852322e-05
312,289,4.929019200283723e-05
176,163,1.4805861044377524e-09
27,25,4.952930665870392e-06
256,237,1.6187247879817976e-05
148,137,3.812139072401101e-05
40,37,0.00010566853134644485
304,281,4.9245774419704064e-05
66,61,2.178349320806653e-05
224,207,7.488804516246153e-06
92,85,1.5715363937103573e-07
144,133,3.802367204111822e-05
248,229,1.582450428423071e-05
13,12,6.689806224986322e-05
272,251,2.8892368754298934e-05
168,155,0.0
116,107,1.0835669405327692e-05
296,273,4.914805573681117e-05
64,59,0.0001021052893738148
140,129,3.782823467533239e-05
216,199,6.442030140408661e-06
38,35,6.287419936452746e-05
240,221,1.5190813431531354e-05
88,81,2.8529836671012292e-05
288,265,4.89526183710255e-05
25,23,2.467766889571625e-06
312,287,7.967181886589992e-05
112,103,9.78371297812467e-06
62,57,2.0787058759779953e-05
136,125,3.746549107974511e-05
37,34,6.267876199874166e-05
160,147,0.00010007207450589565
184,169,1.1400513004170697e-07
208,191,4.8489194920336385e-06
232,213,1.4138116711276098e-05
256,235,2.789593430601238e-05
280,257,4.8589874775438195e-05
304,279,7.947638150011409e-05
12,11,0.00022780038700310999
320,293,0.0001244773155583954
296,271,7.911363790452682e-05
272,249,4.79561839227388e-05
248,227,2.6843237585757105e-05
224,205,1.246801558547031e-05
200,183,2.773137773611911e-06
176,161,0.0
152,139,9.95138935445224e-05
35,32,6.168232755045515e-05
128,117,3.577910350679057e-05
58,53,1.805907886235338e-05
104,95,0.0001298925592353763
288,263,7.847994705182766e-05
23,21,7.180842606523101e-08
264,241,4.6903487202483524e-05
80,73,0.00017875269385294977
148,135,9.8880202691823e-05
216,197,9.977669757806015e-06
34,31,6.062963083019985e-05
192,175,8.394923212162056e-07
124,113,3.4103080036566996e-05
304,277,0.0001234808811101085
56,51,9.293898080124055e-05
78,71,0.00015295178888471663
256,233,4.5227463732260104e-05
100,91,2.9730168977110074e-06
144,131,9.782750597156804e-05
232,211,2.2599877810438492e-05
320,291,0.0001880403576080127
11,10,5.895360735997627e-05
296,269,0.00012242818438985324
208,189,6.6463510228210705e-06
120,109,3.15305616801064e-05
272,247,7.575122686134872e-05
76,69,0.00015189909216446125
184,167,3.8495238715381566e-08
54,49,1.1900580960944546e-05
248,225,4.2654205082747254e-05
140,127,9.615148250134436e-05
312,283,0.00018698766088775715
32,29,0.0004252323137838722
74,67,0.00015022306869423766
264,239,7.317796821183585e-05
116,105,2.772767627085802e-05
200,181,3.0396432724107063e-06
21,19,0.0
304,275,0.00018531163741753343
136,123,9.357822385183148e-05
240,217,3.8831331761088966e-05
52,47,0.00023423131274773537
280,253,0.00011817890227011707
176,159,0.0
31,28,5.255229333743975e-05
320,289,0.0002757547201932186
72,65,0.00016145796756701235
256,231,6.934917254576002e-05
92,83,1.7026740201034155e-08
296,267,0.0001827383787680206
112,101,2.240200805319541e-05
132,119,8.974942818575538e-05
152,137,0.00022427548163496955
192,173,5.729868224174103e-07
232,209,3.3370930207922504e-05
272,245,0.0001143501066040409
312,281,0.0002731814615437054
10,9,0.0005242898166617017
288,259,0.00017890958310194503
248,223,6.381178051516274e-05
208,187,7.919866584938172e-06
168,151,0.0
148,133,0.00022044668596889346
128,115,8.420685410379289e-05
108,97,1.5592052265833977e-05
304,273,0.0002693526658776291
88,79,0.00010880679222902589
39,35,0.00032664357504232213
224,201,2.6033145474329007e-05
68,61,0.00013827770000363396
320,287,0.0003934376261183491
184,165,5.922344417751008e-09
29,26,3.941727371192017e-05
280,251,0.00017336626872692983
48,43,0.00027138180913376163
296,265,0.0002638093515026141
124,111,7.639750269593586e-05
200,179,2.746698736032665e-06
19,17,0.0003211002606673068
256,229,0.00010097745290875934
104,93,0.00039609971993412763
66,59,0.0001304431786320015
160,143,0.0004654185404647472
216,193,1.7139264744971425e-05
272,243,0.00016553100706224514
28,25,0.00023666835747563985
288,257,0.0002559740898379302
232,207,4.5714576560620044e-05
176,157,0.0
37,33,0.00031326499900262216
120,107,6.577281681049055e-05
304,271,0.00038005905007864867
46,41,1.480586104437752e-09
248,221,9.021803368781009e-05
156,139,0.000457583278800062
64,57,0.0006670872172614331
264,235,0.0001546945973638651
100,89,2.4214985738079443e-06
136,121,0.00019622651817944865
208,185,8.2083693630029e-06
280,249,0.0002451317577951322
9,8,0.00032076601835423073
296,263,0.000369216718035851
224,199,3.294007965153112e-05
152,135,0.0004467409467572639
116,103,5.2075174465284625e-05
312,277,0.0005363380860865633
80,71,0.0007154662142731393
62,55,0.00010512145478085505
168,149,0.0
256,227,0.00014005456196318502
44,39,0.00018152948021374717
272,241,0.0002304147319170208
184,163,2.1151230063396465e-10
35,31,0.00028770045903034813
96,85,0.00035466329692228094
148,131,0.00043201799853473475
200,177,2.0254417908708455e-06
304,269,0.0005216151378640337
26,23,0.0006326759109247663
320,283,0.0007430202918232518
216,191,1.911584719439583e-05
112,99,3.588496541325781e-05
232,205,5.8283272001192136e-05
60,53,8.648901894955813e-05
248,219,0.00012089429718565592
128,113,0.00016208938466247987
264,233,0.00021083990303024907
17,15,0.0002680686275785556
280,247,0.0003348419504491202
144,127,0.00041236099711916807
296,261,0.0005019573961554137
76,67,0.0006050929619456162
312,275,0.0007233625501146309
160,141,0.0008584993453319269
42,37,0.0
176,155,0.0
92,81,0.0
192,169,9.179633847514069e-08
25,22,1.603474751106086e-06
208,183,7.380721730622197e-06
108,95,1.9396418261186782e-05
224,197,3.8276111971924785e-05
58,51,6.41055182226681e-05
240,211,9.69917151156128e-05
124,109,0.0001372636571563197
256,225,0.0001854863465778575
33,29,0.0002424352403524246
272,239,0.00030907382988748516
140,123,0.00038653587399251207
288,253,0.0004761122851163496
